College,Department,Category,Cutoff
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,GMK,126794
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,GMR,131997
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,SCG,162641
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,SCK,199885
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,SCR,183308
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,STG,153653
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,STR,160699
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,1G,15294
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,1K,20322
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,2AG,15175
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,2AR,17354
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,2BG,16306
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,3AG,12403
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,3BG,13282
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,3BR,13871
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,GM,11929
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,GMK,12334
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,GMR,13226
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,SCG,36141
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,SCR,37377
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,STG,39630
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,STR,41358
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,1G,29292
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,2AG,28164
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,2AK,32934
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,2AR,32628
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,2BG,43116
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,2BR,52075
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,3AG,25563
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,3AR,25837
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,3BG,25448
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,3BR,28729
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,GM,22963
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,GMK,26864
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,GMR,25697
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,SCG,68845
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,SCK,106079
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,SCR,91067
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,STG,62898
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,STR,64332
E004 Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,1G,47309
E004 Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,1R,58473
E004 Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,2AG,53282
E004 Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,2AK,54450
